State,City,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,August 2023,Total,Longitude,Latitude
,"Henderson, NV",,,,,,,,,,,,,,1,1,2,4,3,1,2,2,2,1,5,4,2,4,2,5,5,4,13,14,15,23,12,33,30,35,39,51,85,51,85,90,626,36.0395,114.9817
NV,Nevada,0,0,0,1,1,2,2,1,4,4,4,3,3,1,3,7,9,5,2,7,4,4,3,9,6,4,5,6,5,6,6,13,15,18,24,18,35,34,40,40,55,87,54,90,114,754,,
,"Buffalo, NY",7,7,9,2,3,3,14,9,14,4,9,16,13,22,13,11,7,13,3,9,6,4,4,9,4,6,5,9,6,6,9,14,50,46,84,40,136,237,146,155,142,242,304,177,173,2202,42.8864,78.8784
,"Rochester, NY",3,8,4,4,7,8,11,11,8,8,5,14,11,8,12,12,13,8,8,10,13,4,9,8,10,8,6,11,6,13,15,33,26,13,20,35,41,230,256,151,258,270,299,235,152,2295,43.1566,77.6088
,"Syracuse, NY",2,5,6,1,1,2,7,5,9,1,5,4,6,8,7,6,5,5,6,5,6,8,4,4,6,2,4,2,5,1,4,6,17,10,6,4,2,9,28,14,21,33,15,47,83,437,43.0481,76.1474
NY,New York,12,20,19,7,11,13,32,25,31,13,19,34,30,38,32,29,25,26,17,24,25,16,17,21,20,16,15,22,17,20,28,53,93,69,110,79,179,476,430,320,421,545,618,459,408,4934,,
,"Akron, OH",9,1,2,2,7,3,4,5,9,8,4,6,5,3,2,3,7,2,9,2,4,4,7,8,5,11,5,11,5,7,6,10,5,10,3,9,11,13,5,5,16,26,17,29,25,350,41.0814,81.519
,Cincinatti,,21,10,16,12,9,17,17,12,20,19,16,15,21,19,15,9,14,9,10,14,7,9,12,15,18,9,9,9,14,35,167,155,100,62,103,120,106,263,192,168,290,253,,,2411,39.1031,84.512
,Cleveland,,35,12,14,21,20,22,20,29,28,27,18,18,30,23,25,16,28,25,39,27,22,20,23,29,49,26,31,17,29,28,124,105,204,299,403,465,,,,,,,,,2351,41.4993,81.6944
,Dayton,2,5,5,6,6,4,3,4,4,4,7,5,5,6,2,1,2,4,2,4,3,6,1,5,3,1,5,5,3,5,9,42,111,78,134,100,173,,,,,,,,,765,39.7589,84.1916
OH,Ohio,11,62,29,38,46,36,46,46,54,60,57,45,43,60,46,44,34,48,45,55,48,39,37,48,52,79,45,56,34,55,78,343,376,392,498,615,769,119,268,197,184,316,270,29,25,5877,,
,Portland,13,12,10,4,7,7,11,11,8,11,13,17,14,27,8,21,11,5,17,18,20,14,27,27,19,39,29,32,32,31,43,84,183,124,172,245,301,367,280,227,166,148,171,156,,3182,45.5152,122.6784
,"Eugene, OR",1,2,2,2,0,0,1,1,2,2,1,1,2,0,2,0,1,0,1,1,2,2,5,0,0,3,0,1,0,0,0,2,0,0,2,2,2,4,3,2,2,3,6,4,2,69,44.0521,123.0868
OR,Oregon,14,14,12,6,7,7,12,12,10,13,14,18,16,27,10,21,12,5,18,19,22,16,32,27,19,42,29,33,32,31,43,86,183,124,174,247,303,371,283,229,168,151,177,160,2,3251,,
PA,"Pittsburgh, PA",9,4,3,2,5,2,9,3,5,7,1,2,6,6,2,2,3,6,6,3,3,6,4,3,4,4,5,4,3,9,7,10,5,6,7,4,2,13,7,4,7,6,9,11,12,241,40.4406,79.9959
RI,"Providence, RI",1,3,2,2,3,2,2,0,3,3,0,3,2,3,4,1,1,2,2,3,1,2,0,3,2,2,4,1,2,2,3,10,16,9,5,12,3,10,2,7,7,7,4,6,9,171,41.824,71.4128
,El Paso,13,9,5,6,1,1,8,5,4,2,3,2,6,5,5,9,7,5,3,5,8,8,4,5,5,8,6,5,4,9,10,17,25,8,10,13,11,6,17,15,14,17,44,33,24,430,31.7619,106.485
,Dallas,21,26,23,22,19,24,25,19,28,32,20,26,28,23,33,41,22,25,24,47,33,35,61,33,21,31,31,29,36,25,29,72,48,54,57,61,109,81,116,173,303,486,289,353,278,3372,32.7767,96.797
,"Lubbock, TX",6,2,3,7,3,3,3,4,7,5,4,8,9,5,5,8,3,3,2,6,8,1,3,4,6,5,8,6,5,9,11,7,4,11,7,6,5,3,4,4,9,3,9,18,23,275,33.5778,101.8553
,"Irving, TX",2,3,7,4,7,1,3,3,2,5,2,3,5,0,6,5,4,3,2,5,4,5,1,3,1,3,3,2,1,2,5,9,4,1,1,3,3,4,5,6,8,27,21,30,19,243,32.814,96.9489
,"Plano, TX",3,1,1,1,0,0,1,0,2,0,1,1,1,1,3,0,2,2,0,1,0,3,1,0,1,0,0,2,1,1,1,1,1,2,2,0,4,3,3,4,9,14,15,36,9,134,33.0198,96.6989
,"McKinney, TX",0,0,0,3,4,1,1,6,0,2,1,0,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,2,0,4,0,0,2,0,0,0,3,5,0,2,6,4,6,4,63,33.1983,96.6389
,"Arlington, TX",8,3,6,1,3,4,3,2,3,4,1,7,5,4,3,4,6,2,3,7,6,4,9,6,6,3,4,9,6,2,1,6,4,5,4,7,4,3,8,12,3,16,21,19,10,257,32.7357,97.1081
,"Garland, TX",3,0,0,1,1,2,0,1,3,1,5,1,3,3,0,4,0,0,3,1,3,1,5,4,4,1,0,2,3,4,2,1,4,2,2,2,7,13,17,8,12,36,11,14,8,198,32.9126,96.6389
